DateKey,Date,CalendarYear,CalendarQuarter,Month
20110101,1/1/2011,2011,1,January
20110102,1/2/2011,2011,1,January
20110103,1/3/2011,2011,1,January
20110104,1/4/2011,2011,1,January
20110105,1/5/2011,2011,1,January
20110106,1/6/2011,2011,1,January
20110107,1/7/2011,2011,1,January
20110108,1/8/2011,2011,1,January
20110109,1/9/2011,2011,1,January
20110110,1/10/2011,2011,1,January
20110111,1/11/2011,2011,1,January
20110112,1/12/2011,2011,1,January
20110113,1/13/2011,2011,1,January
20110114,1/14/2011,2011,1,January
20110115,1/15/2011,2011,1,January
20110116,1/16/2011,2011,1,January
20110117,1/17/2011,2011,1,January
20110118,1/18/2011,2011,1,January
20110119,1/19/2011,2011,1,January
20110120,1/20/2011,2011,1,January
20110121,1/21/2011,2011,1,January
20110122,1/22/2011,2011,1,January
20110123,1/23/2011,2011,1,January
20110124,1/24/2011,2011,1,January
20110125,1/25/2011,2011,1,January
20110126,1/26/2011,2011,1,January
20110127,1/27/2011,2011,1,January
20110128,1/28/2011,2011,1,January
20110129,1/29/2011,2011,1,January
20110130,1/30/2011,2011,1,January
20110131,1/31/2011,2011,1,January
20110201,2/1/2011,2011,1,February
20110202,2/2/2011,2011,1,February
20110203,2/3/2011,2011,1,February
20110204,2/4/2011,2011,1,February
20110205,2/5/2011,2011,1,February
20110206,2/6/2011,2011,1,February
20110207,2/7/2011,2011,1,February
20110208,2/8/2011,2011,1,February
20110209,2/9/2011,2011,1,February
20110210,2/10/2011,2011,1,February
20110211,2/11/2011,2011,1,February
20110212,2/12/2011,2011,1,February
20110213,2/13/2011,2011,1,February
20110214,2/14/2011,2011,1,February
20110215,2/15/2011,2011,1,February
20110216,2/16/2011,2011,1,February
20110217,2/17/2011,2011,1,February
20110218,2/18/2011,2011,1,February
20110219,2/19/2011,2011,1,February
20110220,2/20/2011,2011,1,February
20110221,2/21/2011,2011,1,February
20110222,2/22/2011,2011,1,February
20110223,2/23/2011,2011,1,February
20110224,2/24/2011,2011,1,February
20110225,2/25/2011,2011,1,February
20110226,2/26/2011,2011,1,February
20110227,2/27/2011,2011,1,February
20110228,2/28/2011,2011,1,February
20110301,3/1/2011,2011,1,March
20110302,3/2/2011,2011,1,March
20110303,3/3/2011,2011,1,March
20110304,3/4/2011,2011,1,March
20110305,3/5/2011,2011,1,March
20110306,3/6/2011,2011,1,March
20110307,3/7/2011,2011,1,March
20110308,3/8/2011,2011,1,March
20110309,3/9/2011,2011,1,March
20110310,3/10/2011,2011,1,March
20110311,3/11/2011,2011,1,March
20110312,3/12/2011,2011,1,March
20110313,3/13/2011,2011,1,March
20110314,3/14/2011,2011,1,March
20110315,3/15/2011,2011,1,March
20110316,3/16/2011,2011,1,March
20110317,3/17/2011,2011,1,March
20110318,3/18/2011,2011,1,March
20110319,3/19/2011,2011,1,March
20110320,3/20/2011,2011,1,March
20110321,3/21/2011,2011,1,March
20110322,3/22/2011,2011,1,March
20110323,3/23/2011,2011,1,March
20110324,3/24/2011,2011,1,March
20110325,3/25/2011,2011,1,March
20110326,3/26/2011,2011,1,March
20110327,3/27/2011,2011,1,March
20110328,3/28/2011,2011,1,March
20110329,3/29/2011,2011,1,March
20110330,3/30/2011,2011,1,March
20110331,3/31/2011,2011,1,March
20110401,4/1/2011,2011,2,April
20110402,4/2/2011,2011,2,April
20110403,4/3/2011,2011,2,April
20110404,4/4/2011,2011,2,April
20110405,4/5/2011,2011,2,April
20110406,4/6/2011,2011,2,April
20110407,4/7/2011,2011,2,April
20110408,4/8/2011,2011,2,April
20110409,4/9/2011,2011,2,April
20110410,4/10/2011,2011,2,April
20110411,4/11/2011,2011,2,April
20110412,4/12/2011,2011,2,April
20110413,4/13/2011,2011,2,April
20110414,4/14/2011,2011,2,April
20110415,4/15/2011,2011,2,April
20110416,4/16/2011,2011,2,April
20110417,4/17/2011,2011,2,April
20110418,4/18/2011,2011,2,April
20110419,4/19/2011,2011,2,April
20110420,4/20/2011,2011,2,April
20110421,4/21/2011,2011,2,April
20110422,4/22/2011,2011,2,April
20110423,4/23/2011,2011,2,April
20110424,4/24/2011,2011,2,April
20110425,4/25/2011,2011,2,April
20110426,4/26/2011,2011,2,April
20110427,4/27/2011,2011,2,April
20110428,4/28/2011,2011,2,April
20110429,4/29/2011,2011,2,April
20110430,4/30/2011,2011,2,April
20110501,5/1/2011,2011,2,May
20110502,5/2/2011,2011,2,May
