DateKey,Date,CalendarYear,CalendarQuarter,Month
20110101,2023-01-01,2011,1,January
20110102,2023-01-02,2011,1,January
20110103,2023-01-03,2011,1,January
20110104,2023-01-04,2011,1,January
20110105,2023-01-05,2011,1,January
20110106,2023-01-06,2011,1,January
20110107,2023-01-07,2011,1,January
20110108,2023-01-08,2011,1,January
20110109,2023-01-09,2011,1,January
20110110,2023-01-10,2011,1,January
20110111,2023-01-11,2011,1,January
20110112,2023-01-12,2011,1,January
20110113,2023-01-13,2011,1,January
20110114,2023-01-14,2011,1,January
20110115,2023-01-15,2011,1,January
20110116,2023-01-16,2011,1,January
20110117,2023-01-17,2011,1,January
20110118,2023-01-18,2011,1,January
20110119,2023-01-19,2011,1,January
20110120,2023-01-20,2011,1,January
20110121,2023-01-21,2011,1,January
20110122,2023-01-22,2011,1,January
20110123,2023-01-23,2011,1,January
20110124,2023-01-24,2011,1,January
20110125,2023-01-25,2011,1,January
20110126,2023-01-26,2011,1,January
20110127,2023-01-27,2011,1,January
20110128,2023-01-28,2011,1,January
20110129,2023-01-29,2011,1,January
20110130,2023-01-30,2011,1,January
20110131,2023-01-31,2011,1,January
20110201,2023-02-01,2011,1,February
20110202,2023-02-02,2011,1,February
20110203,2023-02-03,2011,1,February
20110204,2023-02-04,2011,1,February
20110205,2023-02-05,2011,1,February
20110206,2023-02-06,2011,1,February
20110207,2023-02-07,2011,1,February
20110208,2023-02-08,2011,1,February
20110209,2023-02-09,2011,1,February
20110210,2023-02-10,2011,1,February
20110211,2023-02-11,2011,1,February
20110212,2023-02-12,2011,1,February
20110213,2023-02-13,2011,1,February
20110214,2023-02-14,2011,1,February
20110215,2023-02-15,2011,1,February
20110216,2023-02-16,2011,1,February
20110217,2023-02-17,2011,1,February
20110218,2023-02-18,2011,1,February
20110219,2023-02-19,2011,1,February
20110220,2023-02-20,2011,1,February
20110221,2023-02-21,2011,1,February
20110222,2023-02-22,2011,1,February
20110223,2023-02-23,2011,1,February
20110224,2023-02-24,2011,1,February
20110225,2023-02-25,2011,1,February
20110226,2023-02-26,2011,1,February
