county_name,population,state_fips,county_fips
"Alachua County, Florida",279729,12,001
"Baker County, Florida",27969,12,003
"Bay County, Florida",181055,12,005
"Bradford County, Florida",27816,12,007
"Brevard County, Florida",610723,12,009
"Broward County, Florida",1940907,12,011
"Calhoun County, Florida",13753,12,013
"Charlotte County, Florida",189900,12,015
"Citrus County, Florida",155173,12,017
"Clay County, Florida",219650,12,019
"Collier County, Florida",380221,12,021
"Columbia County, Florida",69832,12,023
"DeSoto County, Florida",34258,12,027
"Dixie County, Florida",16737,12,029
"Duval County, Florida",995708,12,031
"Escambia County, Florida",321296,12,033
"Flagler County, Florida",117515,12,035
"Franklin County, Florida",12276,12,037
"Gadsden County, Florida",43746,12,039
"Gilchrist County, Florida",18070,12,041
"Glades County, Florida",12179,12,043
"Gulf County, Florida",15002,12,045
"Hamilton County, Florida",13492,12,047
"Hardee County, Florida",25528,12,049
"Hendry County, Florida",39902,12,051
"Hernando County, Florida",196621,12,053
"Highlands County, Florida",102339,12,055
"Hillsborough County, Florida",1468560,12,057
"Holmes County, Florida",19529,12,059
"Indian River County, Florida",160986,12,061
"Jackson County, Florida",47704,12,063
"Jefferson County, Florida",14458,12,065
"Lafayette County, Florida",8107,12,067
"Lake County, Florida",386829,12,069
"Lee County, Florida",772902,12,071
"Leon County, Florida",294128,12,073
"Levy County, Florida",43268,12,075
"Liberty County, Florida",7704,12,077
"Madison County, Florida",17986,12,079
"Manatee County, Florida",405069,12,081
"Marion County, Florida",378225,12,083
"Martin County, Florida",159399,12,085
"Miami-Dade County, Florida",2688237,12,086
"Monroe County, Florida",82044,12,087
"Nassau County, Florida",91538,12,089
"Okaloosa County, Florida",212021,12,091
"Okeechobee County, Florida",39870,12,093
"Orange County, Florida",1427403,12,095
"Osceola County, Florida",393745,12,097
"Palm Beach County, Florida",1494805,12,099
"Pasco County, Florida",569211,12,101
"Pinellas County, Florida",959918,12,103
"Polk County, Florida",736229,12,105
"Putnam County, Florida",73604,12,107
"St. Johns County, Florida",278722,12,109
"St. Lucie County, Florida",334682,12,111
"Santa Rosa County, Florida",188994,12,113
"Sarasota County, Florida",439392,12,115
"Seminole County, Florida",471321,12,117
"Sumter County, Florida",131832,12,119
"Suwannee County, Florida",43881,12,121
"Taylor County, Florida",21421,12,123
"Union County, Florida",15524,12,125
"Volusia County, Florida",558520,12,127
"Wakulla County, Florida",33732,12,129
"Walton County, Florida",76618,12,131
"Washington County, Florida",25014,12,133
