event_date,device_category,os,sessions
20201101,desktop,Web,966
20201101,mobile,Web,545
20201101,desktop,Windows,289
20201101,mobile,iOS,282
20201101,mobile,Android,212
20201101,desktop,Macintosh,185
20201101,desktop,<Other>,65
20201101,tablet,Web,26
20201101,tablet,iOS,13
20201101,tablet,Android,11
20201102,desktop,Web,1361
20201102,mobile,Web,763
20201102,desktop,Windows,411
20201102,mobile,iOS,396
20201102,mobile,Android,320
20201102,desktop,Macintosh,265
20201102,desktop,<Other>,96
20201102,tablet,Web,38
20201102,tablet,iOS,23
20201102,tablet,Android,7
20201102,tablet,Windows,2
20201103,desktop,Web,1927
20201103,mobile,Web,1104
20201103,desktop,Windows,629
20201103,mobile,iOS,586
20201103,mobile,Android,428
20201103,desktop,Macintosh,372
20201103,desktop,<Other>,125
20201103,tablet,Web,55
20201103,tablet,iOS,34
20201103,tablet,Android,20
20201103,tablet,Windows,1
20201104,desktop,Web,1608
20201104,mobile,Web,890
20201104,desktop,Windows,468
20201104,mobile,iOS,459
20201104,mobile,Android,325
20201104,desktop,Macintosh,325
20201104,desktop,<Other>,90
20201104,tablet,Web,70
20201104,tablet,iOS,33
20201104,tablet,Android,11
20201104,mobile,<Other>,1
20201105,desktop,Web,1368
20201105,mobile,Web,824
20201105,desktop,Windows,418
20201105,mobile,iOS,397
20201105,mobile,Android,328
20201105,desktop,Macintosh,278
20201105,desktop,<Other>,90
20201105,tablet,Web,52
20201105,tablet,iOS,21
20201105,tablet,Android,16
20201105,mobile,<Other>,2
20201106,desktop,Web,1204
20201106,mobile,Web,684
20201106,desktop,Windows,369
20201106,mobile,iOS,364
20201106,desktop,Macintosh,256
20201106,mobile,Android,250
20201106,desktop,<Other>,61
20201106,tablet,Web,35
20201106,tablet,Android,22
20201106,tablet,iOS,19
20201107,desktop,Web,760
20201107,mobile,Web,449
20201107,desktop,Windows,280
20201107,mobile,iOS,248
20201107,mobile,Android,235
20201107,desktop,Macintosh,173
20201107,desktop,<Other>,45
20201107,tablet,iOS,22
20201107,tablet,Web,19
20201107,tablet,Android,8
20201108,desktop,Web,788
20201108,mobile,Web,435
20201108,desktop,Windows,274
20201108,mobile,iOS,229
20201108,mobile,Android,167
20201108,desktop,Macintosh,144
20201108,desktop,<Other>,52
20201108,tablet,Web,19
20201108,tablet,iOS,14
20201108,tablet,Android,9
20201108,tablet,Windows,1
20201109,desktop,Web,1177
20201109,mobile,Web,678
20201109,desktop,Windows,385
20201109,mobile,iOS,327
20201109,mobile,Android,251
20201109,desktop,Macintosh,241
20201109,desktop,<Other>,78
20201109,tablet,Web,50
20201109,tablet,iOS,25
20201109,tablet,Android,13
20201109,tablet,Windows,2
20201110,desktop,Web,1397
20201110,mobile,Web,792
20201110,mobile,iOS,416
20201110,desktop,Windows,410
20201110,mobile,Android,327
20201110,desktop,Macintosh,305
20201110,desktop,<Other>,66
20201110,tablet,Web,42
20201110,tablet,iOS,14
20201110,tablet,Android,11
20201110,mobile,<Other>,1
20201111,desktop,Web,1390
20201111,mobile,Web,757
20201111,desktop,Windows,415
20201111,mobile,iOS,409
20201111,mobile,Android,304
20201111,desktop,Macintosh,298
20201111,desktop,<Other>,99
20201111,tablet,Web,42
20201111,tablet,iOS,27
20201111,tablet,Android,23
20201112,desktop,Web,1338
20201112,mobile,Web,737
20201112,desktop,Windows,430
20201112,mobile,iOS,405
20201112,mobile,Android,310
20201112,desktop,Macintosh,262
20201112,desktop,<Other>,86
20201112,tablet,Web,28
20201112,tablet,iOS,23
20201112,tablet,Android,12
20201113,desktop,Web,1267
20201113,mobile,Web,680
20201113,desktop,Windows,349
20201113,mobile,iOS,335
20201113,mobile,Android,265
20201113,desktop,Macintosh,224
20201113,desktop,<Other>,91
20201113,tablet,Web,37
20201113,tablet,iOS,35
20201113,tablet,Android,15
20201113,mobile,<Other>,1
20201114,desktop,Web,855
20201114,mobile,Web,502
20201114,desktop,Windows,266
20201114,mobile,iOS,264
20201114,mobile,Android,177
20201114,desktop,Macintosh,161
20201114,desktop,<Other>,54
20201114,tablet,iOS,25
20201114,tablet,Web,23
20201114,tablet,Android,7
20201115,desktop,Web,822
20201115,mobile,Web,469
20201115,mobile,iOS,258
20201115,desktop,Windows,250
20201115,mobile,Android,155
20201115,desktop,Macintosh,139
20201115,desktop,<Other>,50
20201115,tablet,iOS,21
20201115,tablet,Web,20
20201115,tablet,Android,5
20201115,mobile,<Other>,1
20201116,desktop,Web,1258
20201116,mobile,Web,786
20201116,desktop,Windows,396
20201116,mobile,iOS,345
20201116,desktop,Macintosh,291
20201116,mobile,Android,269
20201116,desktop,<Other>,76
20201116,tablet,Web,32
20201116,tablet,iOS,24
20201116,tablet,Android,18
20201117,desktop,Web,1394
20201117,mobile,Web,865
20201117,desktop,Windows,474
20201117,mobile,iOS,465
20201117,mobile,Android,334
20201117,desktop,Macintosh,308
20201117,desktop,<Other>,91
20201117,tablet,Web,41
20201117,tablet,iOS,27
20201117,tablet,Android,12
20201118,desktop,Web,1503
20201118,mobile,Web,811
20201118,mobile,iOS,486
20201118,desktop,Windows,443
20201118,mobile,Android,354
20201118,desktop,Macintosh,303
20201118,desktop,<Other>,94
20201118,tablet,Web,59
20201118,tablet,iOS,24
20201118,tablet,Android,15
20201119,desktop,Web,1575
20201119,mobile,Web,792
20201119,desktop,Windows,469
20201119,mobile,iOS,433
20201119,desktop,Macintosh,336
20201119,mobile,Android,335
20201119,desktop,<Other>,116
20201119,tablet,Web,49
20201119,tablet,iOS,29
20201119,tablet,Android,16
20201120,desktop,Web,1435
20201120,mobile,Web,903
20201120,desktop,Windows,510
20201120,mobile,iOS,407
20201120,mobile,Android,366
20201120,desktop,Macintosh,286
20201120,desktop,<Other>,97
20201120,tablet,Web,40
20201120,tablet,iOS,25
20201120,tablet,Android,14
20201121,desktop,Web,1093
20201121,mobile,Web,653
20201121,desktop,Windows,402
20201121,mobile,iOS,336
20201121,mobile,Android,246
20201121,desktop,Macintosh,241
